folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
8,0.01,4,0.85,0.8,0,0.443955,999
10,0.01,4,0.85,0.8,0,0.443539,1000
8,0.012,4,0.85,0.8,0,0.446729,830
10,0.012,4,0.85,0.8,0,0.443891,833
8,0.014,4,0.85,0.8,0,0.446118,714
10,0.014,4,0.85,0.8,0,0.446203,714
8,0.016,4,0.85,0.8,0,0.448009,624
10,0.016,4,0.85,0.8,0,0.445111,625
8,0.018,4,0.85,0.8,0,0.441545,555
10,0.018,4,0.85,0.8,0,0.447609,554
8,0.02,4,0.85,0.8,0,0.449855,500
10,0.02,4,0.85,0.8,0,0.44038,500
8,0.022,4,0.85,0.8,0,0.448901,455
10,0.022,4,0.85,0.8,0,0.444588,455
8,0.024,4,0.85,0.8,0,0.448807,417
10,0.024,4,0.85,0.8,0,0.449633,417
8,0.026,4,0.85,0.8,0,0.44445,385
10,0.026,4,0.85,0.8,0,0.443147,385
8,0.028,4,0.85,0.8,0,0.446099,357
10,0.028,4,0.85,0.8,0,0.446038,357
8,0.03,4,0.85,0.8,0,0.448534,333
10,0.03,4,0.85,0.8,0,0.44598,333
8,0.01,5,0.85,0.8,0,0.430867,1000
10,0.01,5,0.85,0.8,0,0.43121,1000
8,0.012,5,0.85,0.8,0,0.434798,833
10,0.012,5,0.85,0.8,0,0.434332,830
8,0.014,5,0.85,0.8,0,0.436301,714
10,0.014,5,0.85,0.8,0,0.433621,714
8,0.016,5,0.85,0.8,0,0.43316,617
10,0.016,5,0.85,0.8,0,0.43457,625
8,0.018,5,0.85,0.8,0,0.431897,554
10,0.018,5,0.85,0.8,0,0.430855,556
8,0.02,5,0.85,0.8,0,0.438863,492
10,0.02,5,0.85,0.8,0,0.435144,500
8,0.022,5,0.85,0.8,0,0.434264,455
10,0.022,5,0.85,0.8,0,0.432157,455
8,0.024,5,0.85,0.8,0,0.432397,417
10,0.024,5,0.85,0.8,0,0.434966,417
8,0.026,5,0.85,0.8,0,0.434608,385
10,0.026,5,0.85,0.8,0,0.436982,384
8,0.028,5,0.85,0.8,0,0.433723,357
10,0.028,5,0.85,0.8,0,0.429515,357
8,0.03,5,0.85,0.8,0,0.436332,325
10,0.03,5,0.85,0.8,0,0.434083,332
8,0.01,6,0.85,0.8,0,0.428227,987
10,0.01,6,0.85,0.8,0,0.429506,984
8,0.012,6,0.85,0.8,0,0.425788,828
10,0.012,6,0.85,0.8,0,0.427097,817
8,0.014,6,0.85,0.8,0,0.429337,703
10,0.014,6,0.85,0.8,0,0.431427,701
8,0.016,6,0.85,0.8,0,0.430706,548
10,0.016,6,0.85,0.8,0,0.428702,592
8,0.018,6,0.85,0.8,0,0.428475,528
10,0.018,6,0.85,0.8,0,0.428602,554
8,0.02,6,0.85,0.8,0,0.429793,473
10,0.02,6,0.85,0.8,0,0.424297,450
8,0.022,6,0.85,0.8,0,0.42964,416
10,0.022,6,0.85,0.8,0,0.431576,404
8,0.024,6,0.85,0.8,0,0.430874,394
10,0.024,6,0.85,0.8,0,0.430275,396
8,0.026,6,0.85,0.8,0,0.430573,378
10,0.026,6,0.85,0.8,0,0.427845,376
8,0.028,6,0.85,0.8,0,0.435851,333
10,0.028,6,0.85,0.8,0,0.429552,352
8,0.03,6,0.85,0.8,0,0.427781,308
10,0.03,6,0.85,0.8,0,0.424188,321
8,0.01,7,0.85,0.8,0,0.432699,700
10,0.01,7,0.85,0.8,0,0.43298,704
8,0.012,7,0.85,0.8,0,0.429356,651
10,0.012,7,0.85,0.8,0,0.426683,622
8,0.014,7,0.85,0.8,0,0.426462,497
10,0.014,7,0.85,0.8,0,0.429621,609
8,0.016,7,0.85,0.8,0,0.426798,432
10,0.016,7,0.85,0.8,0,0.427498,486
8,0.018,7,0.85,0.8,0,0.428096,450
10,0.018,7,0.85,0.8,0,0.429984,367
8,0.02,7,0.85,0.8,0,0.42243,393
10,0.02,7,0.85,0.8,0,0.429992,337
8,0.022,7,0.85,0.8,0,0.430756,284
10,0.022,7,0.85,0.8,0,0.433155,352
8,0.024,7,0.85,0.8,0,0.42929,302
10,0.024,7,0.85,0.8,0,0.43238,271
8,0.026,7,0.85,0.8,0,0.429388,294
10,0.026,7,0.85,0.8,0,0.42893,272
8,0.028,7,0.85,0.8,0,0.430319,270
10,0.028,7,0.85,0.8,0,0.430789,280
8,0.03,7,0.85,0.8,0,0.432691,261
10,0.03,7,0.85,0.8,0,0.427519,258
8,0.01,4,0.8,0.8,0,0.449307,1000
10,0.01,4,0.8,0.8,0,0.446322,1000
8,0.012,4,0.8,0.8,0,0.447424,832
